Region	RegionUID	OperatingUnit	OperatingUnitUID	CountryName	SNU1	SNU1Uid	PSNU	PSNUuid	CurrentSNUPrioritization	typeMilitary	MechanismUID	PrimePartner	FundingAgency	MechanismID	ImplementingMechanismName	dataElementUID	indicator	numeratorDenom	indicatorType	disaggregate	standardizedDisaggregate	categoryOptionComboUID	categoryOptionComboName	Age	Sex	resultStatus	otherDisaggregate	coarseDisaggregate	modality	isMCAD	FY2015Q2	FY2015Q3	FY2015Q4	FY2015APR	FY2016_TARGETS	FY2016Q1	FY2016Q2	FY2016Q3	FY2016Q4	FY2016APR	FY2017_TARGETS	FY2017Q1	FY2017Q2	FY2017Q3	FY2017Q4	FY2017APR	FY2018_TARGETS	FY2018Q1
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	iSNTanNAk4n	OVC_SERV_OVER_18	N	DSD	Total Numerator	Total Numerator	HllvX50cXC0	default						NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	xGq7fGr8XXa	25+, Male	25+	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	nP8HO0EV1GL	<1, Male	<01	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	pRdcP6qYJvO	5-9, Male	05-09	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	BHzc811pD9i	OVC_ACC	N	DSD	Total Numerator	Total Numerator	HllvX50cXC0	default						NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	RH1Rrrnh4fs	10-14, Male	10-14	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	tpbJfQnCfBY	25+, Male	25+	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	UKrBFtCohgt	<1, Male	<01	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	x7ir6grXYHf	5-9, Male	05-09	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	hE608HdpCor	15-17, Male	15-17	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	epW1ce73Fql	<1, Female	<01	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	G2AAvwynIcL	18-24, Male	18-24	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	wMJHUAf525B	18-24, Female	18-24	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	jbH8B3ZV1tb	18-24, Male	18-24	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	nM1glZIA695	10-14, Female	10-14	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	YXiVBqK0PAS	1-4, Male	01-04	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	I2pKfIO3wG2	25+, Female	25+	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	oAnNBnYgCPt	1-4, Female	01-04	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	I3tRWWhXx87	OVC_ACC	N	DSD	Age/Sex	Age/Sex	CbSxyAJb6KL	<1, Female	<01	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	eNMC63tWjzs	10-14, Female	10-14	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	Hu4omSJ5pjk	10-14, Male	10-14	Male				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The North	Nwedavx1iKP	The North	Nwedavx1iKP	4 - Sustained		""	White Walkers	USAID	80001	White Walkers	MlvrM0uXURb	OVC_SERV	N	DSD	Age/Sex	Age/Sex	ugazelnBxB4	1-4, Female	01-04	Female				NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	FDlLTtGvb6d	SC_STOCK	D	DSD	ObservedCommodity	ObservedCommodity	ghnHGxQGzsU	First Line ARV				First Line ARV		NULL	N															20	20		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	x0qTD4eEKoS	SC_STOCK	N	DSD	ObservedCommodity	ObservedCommodity	FsVyz3CsO23	Other Commodities				Other Commodities		NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	x0qTD4eEKoS	SC_STOCK	N	DSD	ObservedCommodity	ObservedCommodity	ghnHGxQGzsU	First Line ARV				First Line ARV		NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	x0qTD4eEKoS	SC_STOCK	N	DSD	ObservedCommodity	ObservedCommodity	f1MsjgHEA1F	OI Drugs				OI Drugs		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	FDlLTtGvb6d	SC_STOCK	D	DSD	ObservedCommodity	ObservedCommodity	xQzCIqxQrOD	Rapid Test Kit				Rapid Test Kit		NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	x0qTD4eEKoS	SC_STOCK	N	DSD	ObservedCommodity	ObservedCommodity	xQzCIqxQrOD	Rapid Test Kit				Rapid Test Kit		NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	FDlLTtGvb6d	SC_STOCK	D	DSD	ObservedCommodity	ObservedCommodity	FsVyz3CsO23	Other Commodities				Other Commodities		NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Vale of Arryn	MqNQ05ZIeV2	The Vale of Arryn	MqNQ05ZIeV2	2 - Scale-Up: Aggressive		""	Stark	USAID	80002	Stark	FDlLTtGvb6d	SC_STOCK	D	DSD	ObservedCommodity	ObservedCommodity	f1MsjgHEA1F	OI Drugs				OI Drugs		NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	A08J7tE7g4m	TB_SCREEN	N	DSD	Age	Age	ULaPyLoxUF0	5-9	05-09					NULL	N		10	10	10					10	10								
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	Am9PuriNTad	TB_ART	N	DSD	Age Aggregated/Sex	Age Aggregated/Sex	NxWS31FH6DC	15+, Female	15+	Female			TRUE	NULL	N											10							
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	amb1LalnNbT	PMTCT_ART	N	DSD	MaternalRegimenType	MaternalRegimenType	VAJENePCGFU	Triple-drug ARV				Triple-drug ARV		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	aWJbStT7WGl	TX_RET	N	DSD	AgeAboveTen/Sex	Age/Sex/HIVStatus	NMio44QoXa2	15-19, Female	15-19	Female				NULL	N															10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	BAH0Q15WLOO	HTS_TST	N	DSD	TBClinic/MostCompleteAgeDisagg	Modality/MostCompleteAgeDisagg	ffbPB3l2JGh	15+, Female, Negative	15+	Female	Negative			TBClinic	Y												50	60	20	40	150		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	BfQYGEpKwhK	HTS_TST	N	DSD	ServiceDeliveryPoint	ServiceDeliveryPoint	Kp8D6nEJiBX	Under 5 Clinic				Under 5 Clinic		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	bHk1JDK2258	LAB_PTCQI	N	Not Applicable	POCT/PT	POCT/PT	OiQAT4scJab	Lab Testing - HIV Serology/Diagnostic, PT - Participate but did not pass last round				Lab Testing - HIV Serology/Diagnostic PT - Participate but did not pass last round		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	bHk1JDK2258	LAB_PTCQI	N	Not Applicable	POCT/PT	POCT/PT	vR29RErQpWn	Lab Testing - TB Xpert, PT - Testing with no participation				Lab Testing - TB Xpert PT - Testing with no participation		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	BtRz9Luy8Ui	HTS_TST	N	DSD	Index/AgeAboveTen/Sex/Result	Modality/Age/Sex/Result	kDRgHjq9iSD	20-24, Male, Negative	20-24	Male	Negative			Index	N													10	10	10	10		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	BtRz9Luy8Ui	HTS_TST	N	DSD	Index/AgeAboveTen/Sex/Result	Modality/Age/Sex/Result	lWGvC0Cxb6c	50+, Female, Positive	50+	Female	Positive			Index	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	C1gSi8H6zp3	HTS_TST	N	DSD	TBClinic/AgeAboveTen/Sex/Result	Modality/Age/Sex/Result	MdmCNJP0m4l	15-19, Male, Positive	15-19	Male	Positive			TBClinic	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	c8JHH82O5mi	PMTCT_ART	N	DSD	MaternalRegimenType	MaternalRegimenType	mfH95GFKwrQ	Life-long ART, Already				Life-long ART Already		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	CiSUkrgsSdi	TX_VIRAL	N	DSD	Age/Sex	Age/Sex	DYHk7h2u8RH	20+, Female	20+	Female				NULL	N					10													
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	d0YjzvnynTY	HTS_TST	N	DSD	Index/MostCompleteAgeDisagg	Modality/MostCompleteAgeDisagg	ShBelJWI7TI	Unknown Age, Male, Positive	Unknown Age	Male	Positive			Index	Y																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	D6CiRj4A5nB	GEND_GBV_PhysicalEmotionalViolence	N	DSD	Total Numerator	Total Numerator	HllvX50cXC0	default						NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	dlmgp0g5SR0	HTS_TST_NEG	N	DSD	Age/Sex/Result	Age/Sex/Result	w34uVi8dpOt	25-49, Male, Negative	25-49	Male	Negative			NULL	N	50	20	60	120		30	30	250	310	600								
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	DOFB0YVZiDO	PMTCT_STAT	N	DSD	Age/KnownNewResult	Age/Sex/KnownNewResult	K49i8Y9Ifeu	10-14, Newly Identified Positive	10-14	Female	Positive	Newly Identified		NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	dUM87VF1M8Z	TX_CURR	N	DSD	AgeAboveTen/Sex	Age/Sex/HIVStatus	iJbM0XmXcy3	20-24, Female	20-24	Female	Positive			NULL	N												50	50	60	60	60		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	dvoAwGbxqqt	TX_NEW	N	DSD	MostCompleteAgeDisagg	MostCompleteAgeDisagg	NxWS31FH6DC	15+, Female	15+	Female				NULL	Y					10						100							
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	Edxgn1OFGbA	HTS_TST	N	DSD	Age Aggregated/Sex	Age Aggregated/Sex	Pv51tDz8wHc	<15, Female	<15	Female			TRUE	NULL	N	10	10	10	20		10	10	90	150	240								
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	ENqvk4sKMrV	TB_ART	N	DSD	Known/New	Known/New	bCQbUtCKzTE	Newly Identified Positive			Positive	Newly Identified		NULL	N	10		10	20			10		20	20								
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	ePVXF9M9n2J	TX_RET	D	DSD	Age/Sex	Age/Sex	mFV84J4ijDt	15-19, Male	15-19	Male				NULL	N					10													
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	Esy5TD5JeTG	HTS_TST_NEG	N	DSD	Inpat/AgeAboveTen/Sex/Result	Modality/Age/Sex/Result	MOgc5CUZPxT	50+, Male, Negative	50+	Male	Negative			Inpat	N													10	20	10	30		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	eXhVGuNAE9y	LAB_PTCQI_TB_Xpert_PT	N	Not Applicable	Total Numerator	Total Numerator	HllvX50cXC0	default						NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	F4UhItnw9RZ	HTS_TST	N	DSD	Age Aggregated/Sex/Result	Age Aggregated/Sex/Result	iSKMmIebK1p	15+, Female, Positive	15+	Female	Positive		TRUE	NULL	N											90							
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	F4UhItnw9RZ	HTS_TST	N	DSD	Age Aggregated/Sex/Result	Age Aggregated/Sex/Result	UklAHI88d6q	<15, Female, Positive	<15	Female	Positive		TRUE	NULL	N											20							
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	F5jinEgUUkv	TB_ART	N	DSD	Age	Age	xcWa3LokIXK	<1	<01					NULL	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	Fuw5Gqnuk2z	HTS_TST_NEG	N	DSD	VCT/AgeLessThanTen/Result	Modality/Age/Sex/Result	UUSVaxGgMR0	<1, Negative	<01		Negative			VCT	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	fwzcu3dtKrG	HTS_TST	N	DSD	Inpat/AgeAboveTen/Sex/Result	Modality/Age/Sex/Result	eMDryqgBqKh	15-19, Female, Positive	15-19	Female	Positive			Inpat	N																		
The Known World	rsgfCo9eMmd	Westeros	ZTxJsumQ8ay	Westeros	The Riverlands	H4JVoH5GKxt	The Riverlands	H4JVoH5GKxt	4 - Sustained		""	Turncloak	HHS/CDC	80003	Turncloak	fwzcu3dtKrG	HTS_TST	N	DSD	Inpat/AgeAboveTen/Sex/Result	Modality/Age/Sex/Result	hslBabVtfA5	20-24, Female, Positive	20-24	Female	Positive			Inpat	N																		
